Institution Code	Catalog Number	Scientific Name	Collector	Collector Num Prefix	Collector Num	Collector Num Suffix	early J date	late J date	Date Collected	County	Elevation	Locality	Latitude	Longitude	Datum	Link Back	
JEPS	JEPS127249	Azolla microphylla	Lowell Ahart		21342		2457636	2457636	Sep 4, 2016	Butte		Peter Ahart Ranch, about 2 miles north and 1/2 mile east of Honcut, about 12 miles (air) south of Oroville.	39.360806	-121.529444	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS127249" target="_blank">View Details</a>	
UCR	UCR153997	Azolla filiculoides	Jon P. Rebman, M. Mayer		7506		2452186	2452186	2001-Oct-3	San Diego	20 m	Mission Valley Preserve: along the San Diego River from Sefton Park to the Interstate 5 bridge. Square: R8	32.761670	-117.191670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR153997" target="_blank">View Details</a>	
CHSC	CHSC50637	Azolla filiculoides	Lowell Ahart		6473		2448032	2448032	1990-05-20	Butte	30 m	About 1/4 mile south of the Feather River, about 4/10 mile west of Pacific Heights Road, about 4 1/2 miles south-west of Oroville.	39.450556	-121.614167	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC50637" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66247	Azolla mexicana	Ernest C. Twisselmann		6632		2437578	2437578	October 5, 1961	Kern	152 m	Kern River at Hart Memorial Park	35.450879	-118.910321	Google Earth (copied from UCD92629)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66247" target="_blank">View Details</a>	
CHSC	CHSC103171	Azolla microphylla	Lowell Ahart		16558		2455155	2455155	2009-11-19	Butte	242 m	About 40 yards southwest of table, about 100 yards south of Ten Mile House Road, Upper Bidwell Park, about 1/2 mile (air) west of Highway 32, about 10 miles northest of Chico.	39.802222	-121.726944	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC103171" target="_blank">View Details</a>	
UC	UC2042150	Azolla filiculoides	Nick Jensen with Neal Kramer		2492		2456908	2456908	Sep 7, 2014	Kern		Tejon Ranch. Along Lower Tejon Creek.	35.085230	-118.797660	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC2042150" target="_blank">View Details</a>	
SBBG	SBBG45311	Azolla filiculoides	M. R. Benedict				2440765	2440765	27-Jun-1970	Los Angeles		under wooden bridge, lower Cape Cyn	33.360714	-118.417854	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG45311" target="_blank">View Details</a>	
UCR	UCR146486	Azolla filiculoides	Scott D. White, Angelia Carey		10762		2453265	2453265	2004-Sep-16	Riverside	567 m	San Jacinto Mountains foothills, Indian Creek; (Lake Fulmor)	33.775000	-116.850000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR146486" target="_blank">View Details</a>	
CHSC	CHSC35273	Azolla microphylla	M. S. Taylor		4166		2444822	2444822	1981-08-05	Plumas	1066 m	In Indian Valley, s side of Hwy 206, 1.5 mi e of its jct with Hwy 89 just n of Cresent Mills.	40.104444	-120.879722	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC35273" target="_blank">View Details</a>	
RSA	RSA786142	Azolla mexicana	Holly C. Forbes	FS	570		2446916	2446916	1987-04-30	Inyo	1274m	Fish Slough: a desert wetland system 4.5 mi. north of Bishop at the northern end of Owens Valley; study site includes 14 sq. mi. along a 7 mi. drainage axis	37.491667	-118.383333	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA786142" target="_blank">View Details</a>	
JROH	JROH1	Azolla	John Hunter Thomas		20669		2444760	2444760	6/4/1981	San Mateo	81 m	Jasper Ridge Biological Preserve, Stanford University. Near low flow crossing of San Francisquito Creek	37.410717	-122.237835	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JROH1" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC53686	Azolla filiculoides	Ernest C. Twisselmann		8431		2438192	2438192	June 11, 1963.	Kern	1188 m	Tehachapi-Kernville Region - Erskine Creek, Piute Mountains	35.611390	-118.489720	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC53686" target="_blank">View Details</a>	
CATA	CATA313	Azolla filiculoides	Mark L. Hoefs		339		2441839	2441839	5 Jun 1973	Los Angeles	22 m	Santa Catalina Island: Lower Cottonwood Canyon, in stream bed by main road at bridge	33.3765396103776	-118.47412792121	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CATA313" target="_blank">View Details</a>	
UCR	UCR261395	Azolla filiculoides	Joseph Cahill, Erik Jordan	1110-	01		2455515	2455515	2010-Nov-14	Ventura	98 m	South Coast Range, Old Creek Road off Hwy 33 about 1 mile south of Oak View	34.382500	-119.302780	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR261395" target="_blank">View Details</a>	
CDA	CDA34273	Azolla filiculoides	L. Ahart		16412		2455113	2455113	8 Oct 2009	Butte		About 20 yards east of Parking Lot 13, Gray Lodge Waterfowl Management Area. Approximately, 7 miles (air) southwest of Gridley.	39.308861	-121.837139	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CDA34273" target="_blank">View Details</a>	
SFV	SFV7092	Azolla filiculoides	K. A. Wilson		1443		2442281	2442281	Aug 21 1974	Los Angeles	245 m	Santa Monica Mountains Malibu Creek. Kanan Road and Triunfo Canyon Road intersection.	34.12	-118.79	NAD27	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SFV7092" target="_blank">View Details</a>	
SD	SD106429	Azolla filiculoides	Wayne P. Armstrong				2444421	2444421	Jun 30, 1980	San Diego	152 m	Lake Hodges, east of Interstate 15	33.054440	-117.062500	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD106429" target="_blank">View Details</a>	
GH	GH376898	Azolla mexicana	Steven Talley				2443388	2443418	1977-09-01 - 1977-10-01	Unknown		West end of Sherman Island	38.087550	-121.764560	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=GH376898" target="_blank">View Details</a>	
UC	UC2031966	Azolla microphylla	A. C. Sanders with P. J. MacKay, D. L. Sanders		25612		2452581	2452581	2 Nov 2002	San Bernardino		Southern Mojave Desert: Lower Narrow of the Mojave River at National Trails Highway bridge south of Oro Grande	34.573889	-117.321667	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC2031966" target="_blank">View Details</a>	
RSA	RSA768925	Azolla microphylla	Lowell A. Ahart, John Dittes		16955		2455408	2455408	2010-07-30	Siskiyou	717m	Edge of the Shasta River, about 50-100 yards from the East Louie Road Bridge, Shasta Big Springs Ranch, 1.6 air miles southwest of Big Springs Lake, 4.6 air miles northwest of Dwinnel Dam, 5.7 air miles southeast of Grenada.	41.590706	-122.438361	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA768925" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68342	Azolla filiculoides	Peter Rubtzoff		4133		2436733	2436733	June 13, 1959	Sonoma		Willow Creek Marsh	38.437220	-123.015280	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68342" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66243	Azolla mexicana	John Thomas Howell		36859		2437566	2437566	Sept. 23, 1961	Plumas	1082 m	Indian Valley	40.108424	-120.883347	Geolocate (copied from CAS437952)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66243" target="_blank">View Details</a>	
RSA	RSA709377	Azolla microphylla	A. C. Sanders, Mark Elvin		25227		2452446	2452446	2002-06-20	Los Angeles	290m	NE end of Santa Susana Mtns.: Santa Clara River bottom at confluence with Castaic Creek, near and above bench mark 926, at foot of bluffs on south side of river.	34.420000	-118.626667	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA709377" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68344	Azolla filiculoides	Peter Rubtzoff		4424		2437084	2437084	May 29, 1960	Sonoma		Laguna de Santa Rosa near Trenton (south of Woolsey Road).	38.469400	-122.841000	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68344" target="_blank">View Details</a>	
CDA	CDA33712	Azolla filiculoides	Patrick Akers	s.n.			2455615	2455615	22 Feb 2011	Sonoma	0 m	Sonoma. 2299 Sobre Vista Road	38.325361	-122.523083	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CDA33712" target="_blank">View Details</a>	
CHSC	CHSC59166	Azolla microphylla	Vernon H. Oswald		5218		2448887	2448887	1992-09-21	Butte	30 m	SE corner of Llano Seco, in a ditch crossing Seven Mile Lane ca. 0.25 mi N of Nelson West Rd.	39.548333	-121.908333	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC59166" target="_blank">View Details</a>	
SD	SD254556	Azolla filiculoides	Ann Howald, Christina Freeman		3411		2457024	2457024	Jan 01, 2015	Sonoma	362 m	Inner North Coast Ranges: Annadel State Park, Ledson Marsh, northwest corner, south of Marsh Trail (Kenwood 7.5'Q)	38.411110	-122.601670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD254556" target="_blank">View Details</a>	
RSA	RSA0040523	Azolla filiculoides	Nick Jensen, Neal Kramer		2492		2456908	2456908	2014-09-07	Kern	244m	Along Lower Tejon Creek	35.085230	-118.797660	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0040523" target="_blank">View Details</a>	
CHSC	CHSC40397	Azolla filiculoides	Lowell Ahart		4850		2446149	2446149	1985-03-24	Butte	100 m	South of Highway 70, at the intersection of Highway 70 and 191.	39.601667	-121.618611	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC40397" target="_blank">View Details</a>	
CDA	CDA13816	Azolla mexicana	G. F. Hrusa, T. D. Wilfred		13544		2450332	2450332	5 September 1996	Glenn		Butte Basin; Occasional floating or on mud. Wet bank of Parrot Ditch, at intersection of Seven Mile Lane and Nelson Rd. approx. 3 mi. W of Nelson. Short internodes & lower leaf lobe &lt;&lt; than upper suggest this. Sterile.	39.550000	-121.900000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CDA13816" target="_blank">View Details</a>	
CHSC	CHSC44629	Azolla filiculoides	Vernon Oswald		1162		2445448	2445448	1983-04-23	Glenn	146 m	Big Tree Nature Trail on Black Butte Rd. near the w end of the Stony Creek arm of Black Butte Lake.	39.736111	-122.396389	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC44629" target="_blank">View Details</a>	
RSA	RSA726847	Azolla filiculoides	Lowell A. Ahart		14260		2454289	2454289	2007-07-07	Colusa	20m	About 1.25 miles east of River Road, about 17 miles west of Gridley.	39.343444	-121.975833	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA726847" target="_blank">View Details</a>	
RSA	RSA52871	Azolla microphylla	R. Weatherby		1484		2433491	2433491	1950-07-28	Plumas	1067m	Indian Creek, on road to Taylorsville.	40.047894	-120.771909	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA52871" target="_blank">View Details</a>	
UCR	UCR95226	Azolla filiculoides	D. L. Banks, E. H. Banks		946		2450206	2450206	1996-May-2	Riverside	524 m	Agua Tibia Mountains, NW Palomar Mountains; NW foothills of Dorland Mtn, S end of Los Caballos Road, University of California-Emerson Oaks Reserve, at the Emerson Cottage	33.466670	-117.041670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR95226" target="_blank">View Details</a>	
SD	SD240473	Azolla filiculoides	Jon P. Rebman, W. Schmidtmann & G. Kenney		28329		2456786	2456786	May 08, 2014	San Diego	35 m	Camp Pendleton: Training Area India: eastern portion of Base; along the Santa Margarita River just southwest of the De Luz Road crossing	33.361190	-117.322490	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD240473" target="_blank">View Details</a>	
SD	SD176157	Azolla filiculoides	Margaret R. Mulligan, Joe Barth		1284		2453578	2453578	Jul 26, 2005	San Diego	111 m	McGinty Mountain Ecological Reserve (California Fish & Game). SE of city El Cajon. SE of intersection of Willow Glen Dr and Hillsdale Rd, in bed of Sweetwater River.	32.755150	-116.898540	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD176157" target="_blank">View Details</a>	
CHSC	CHSC96926	Azolla filiculoides	Lowell Ahart		14260		2454289	2454289	2007-07-07	Colusa	20 m	On north side of the Gridley Colusa Highway, about 1 1/4 miles east of River Road, about 17 miles west of Gridley.	39.343333	-121.975833	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC96926" target="_blank">View Details</a>	
SBBG	SBBG111835	Azolla filiculoides	E. Neese, E. Painter	HL	708		2449526	2449526	22-Jun-1994	Monterey	300m	San Antonio River, near Nacimiento-Fergusson Rd bridge, ca. 1.3 km NNW of Oro Fino Cyn; Ft Hunter Liggett	35.984400	-121.238000		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG111835" target="_blank">View Details</a>	
UCR	UCR261389	Azolla filiculoides	R. G. Swinney		13384		2455377	2455377	2010-Jun-29	Los Angeles	308 m	San Gabriel Mountains/Verdugo Mountains, Hansen Food Control Basin, confluence of Big Tujunga Wash/stream with Hansen Lake	34.268330	-118.379720	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR261389" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66249	Azolla mexicana	Ernest C. Twisselmann		16271		2440497	2440497	October 2, 1969	Tulare	121 m	Deer Creek, 8.4 miles east of Pixley	35.964737	-119.142190	Terrain Navigator 1:24,000 (copied from JEPS60773)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66249" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66253	Azolla mexicana	Robert J. Weatherby		1484		2433491	2433491	July 28, 1950	Plumas	1066 m	at edge of Indian Creek, on road to Taylorsville	40.044748	-120.764623	Geolocate	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66253" target="_blank">View Details</a>	
UCR	UCR132519	Azolla	A. C. Sanders		20557		2450559	2450559	1997-Apr-20	Kern	793 m	San Emigdio Range, San Emigdio Ranch, along dirt road from San Emigdio Canyon south to Los Lobos Creek	34.948890	-119.214720	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR132519" target="_blank">View Details</a>	
SD	SD227667	Azolla mexicana	A. C. Sanders, P. MacKay & C. L. Sanders		17898		2449992	2449992	Oct 01, 1995	San Bernardino	950 m	San Bernardina Mtns. / southern Mojave Desert: Dry bed of the Mojave River just above the Mojave River Forks Dan, W of Arrowhead Lake Road from Hesperia	34.350000	-117.258330	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD227667" target="_blank">View Details</a>	
RSA	RSA594042	Azolla filiculoides	Darin L. Banks, Elizabeth Hedge Banks		946		2450206	2450206	1996-05-02	Riverside	524m	NW Palomar Mountains; Agua Tibia Mountains; NW foothills of Dorland Mtn.; S end of Los Caballos Road, University of California-Emerson Oaks Reserve, at the Emerson Cottage.	33.466700	-117.041900	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA594042" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC53688	Azolla filiculoides	Ernest C. Twisselmann		12734		2439364	2439364	August 26, 1966.	Kern	792 m	Sierra Nevada, the Greenhorn Range - Cedar Creek, 0.25 mile below the mouth of Lureau Creek	35.686980	-118.691867	Geolocate (copied from CAS644181)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC53688" target="_blank">View Details</a>	
RSA	RSA755573	Azolla filiculoides	R. G. Swinney		9335		2454719	2454719	2008-09-09	Los Angeles	960m	Little Rock Creek, 0.2 mi. north of Little Rock Reservoir	34.487222	-118.021944	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA755573" target="_blank">View Details</a>	
UC	UC1619933	Azolla filiculoides	Barbara Ertter, Brad Olson		10849		2448528	2448528	Sep 28 1991	Contra Costa	97 m	S end San Pablo Reservoir between Orinda and El Sobrante	37.913310	-122.227350	NAD27	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1619933" target="_blank">View Details</a>	
LA	LA94038	Azolla filiculoides	Lawrence L. Kiefer;		547		2438190	2438190	June 9 1963	Los Angeles	1000 ft	SANTA MONICA MOUNTAINS, Triunfo Canyon, N arm of Malibu Lake, N of bridge (Mulholland Hwy).	34.109606	-118.755309	NAD27	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=LA94038" target="_blank">View Details</a>	
CHSC	CHSC55817	Azolla microphylla	L. P. Janeway; Jean Witzman, Frances Biles		2184	A	2446958	2446958	1987-06-11	Merced	137 m	Near the edge of Los Banos Cr in Los Banos Valley.	36.955000	-121.025556	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC55817" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66257	Azolla mexicana	Lowell Ahart	s.n.			2442438	2442438	Jan. 25, 1975	Glenn	30 m	1 mile west of Princeton, Ca.	39.406389	-122.030278	(copied from CHSC46039)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66257" target="_blank">View Details</a>	
JEPS	JEPS112257	Azolla filiculoides	Andrew G. Murdock		311		2453126	2453126	April 30, 2004	Contra Costa		In Pinole Creek near Pig Sale.	37.963056	-122.175278	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS112257" target="_blank">View Details</a>	
UCR	UCR236127	Azolla filiculoides	Jim Andre, Glenn L. Clifton		18327		2455709	2455709	2011-May-27	Inyo	1237 m	Owens Valley, along Lubken Road c. 1 mi west of US Hwy 395	36.542430	-118.061970	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR236127" target="_blank">View Details</a>	
SD	SD244256	Azolla filiculoides	Jon P. Rebman, V. Marshall, J. Greene, D. Fosket, & J. Roberts		26798		2456442	2456442	May 29, 2013	San Diego	619 m	Lake Sutherland: northeast of Ramona; east of Lake Sutherland Dam Road; northeast side of the Lake near a creek and east of the dam and spillway	33.119110	-116.776870	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD244256" target="_blank">View Details</a>	
JEPS	JEPS111347	Azolla mexicana	R. V. Lansdown				2454218	2454218	Apr 27 2007	Butte		Oroville Wildlife Area, W of Oroville. Complex of deep basins around the car park on the northern margin of the Wildlife Area.	39.466428	-121.659804	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS111347" target="_blank">View Details</a>	
RSA	RSA151152	Azolla filiculoides	Peter H. Raven		16645		2437553	2437553	1961-09-10	San Bernardino	823m	Along Mojave River just east of Victorville	34.537937	-117.290734	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA151152" target="_blank">View Details</a>	
CHSC	CHSC117707	Azolla filiculoides	Lowell Ahart; John Dittes		21309		2457626	2457626	2016-08-25	Tehama	117 m	Southeast of the parking area, about 200 yards west of the Sacramento River, Anderson River Park, 0.7 miles (air) upstream from Stillwater Creek Confluence 1.8 miles (air) northeast of Balls Ferry Road exit from Interstate 5 in Anderson. Undesignated section of San Buenaventura Land Grant.	40.470833	-122.261667	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC117707" target="_blank">View Details</a>	
SD	SD187295	Azolla filiculoides	Scott D. White, Angelia Carey		10762		2453265	2453265	Sep 16, 2004	Riverside	548 m	San Jacinto Mountain foothills: Indian Creek.	33.775000	-116.850000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD187295" target="_blank">View Details</a>	
CHSC	CHSC81592	Azolla mexicana	Lowell Ahart		9326		2452191	2452191	2001-10-08	Plumas	1066 m	On still waters of Indian Creek, about 400 yards south of Arlington Road, about 200 yards east of Highway 89, about 1 1/2 miles south of Crescent Mills.	40.084167	-120.920278	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC81592" target="_blank">View Details</a>	
RSA	RSA616657	Azolla microphylla	Mary DeDecker		2275		2440425	2440425	1969-07-22	Inyo	1133 m	Owens Valley: Owens River north of Manzanar Road.	36.740800	-118.116000	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA616657" target="_blank">View Details</a>	
CHSC	CHSC8769	Azolla filiculoides	S. Chulasmai		7		2439231	2439231	1966-04-15	Mendocino		Eastman Creek (Arleta Village).	39.698056	-123.333611	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC8769" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66233	Azolla filiculoides	Ernest C. Twisselmann		14501		2440034	2440034	June 26, 1968	Tulare	1584 m	Chimney Creek 1 mile below Lamont Meadow	35.800985	-118.065650	GeoLocate (copied from CAS596071)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66233" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC423334	Azolla filiculoides	A. Williams; R. Truitt; K. Martin; D. Morawitz		14412		2456914	2456914	September 13, 2014	Marin		Mount Tamalpais. Marin Municipal Water District lands: Edge of Hidden Lake, off of Stocking Trail.	37.940380	-122.616050	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC423334" target="_blank">View Details</a>	
CDA	CDA42498	Azolla filiculoides	W. McCans	s.n.			2439637	2439637	26 May 1967	San Diego	0 m	Pepper Reservoir, Ballena, near Ramona.	33.066700	-116.747500	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CDA42498" target="_blank">View Details</a>	
GH	GH376905	Azolla filiculoides	R. F. Thorne		36659		2439383	2439383	1966-09-14 - 1966-09-14	Unknown	53 m	Santa Catalina Island: lower Middle Ranch Canyon ca. 3/4 mi. above Ben Weston Beach	33.366900	-118.470000	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=GH376905" target="_blank">View Details</a>	
CHSC	CHSC4062	Azolla filiculoides	J. Wheeler		10		2439604	2439604	1967-04-23	Tehama	91 m	On the w side of Paskenta Road.	39.980278	-122.383889	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC4062" target="_blank">View Details</a>	
SD	SD254729	Azolla filiculoides	Susan T Welker				2449266	2449266	Oct 05, 1993	San Diego	868 m	Lake Henshaw area. North west of Vista Irrigation District. Gate #2; west of Hwy 79; south of Linton Rd., (Puerta La Cruz Cons. Camp); north of Warner Springs	33.299840	-116.693250	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD254729" target="_blank">View Details</a>	
CHSC	CHSC116268	Azolla filiculoides	Lowell Ahart		20652		2457345	2457345	2015-11-18	Butte	26 m	About one mile south of Palm Avenue, about 2 miles southeast of the intersection of Palm Avenue and Larkin Road, about 5 miles (air) northeast of Gridley.	39.403333	-121.619167	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC116268" target="_blank">View Details</a>	
SD	SD235130	Azolla filiculoides	Jon P. Rebman, W. Schmidtmann & G. Kenney		26450		2456428	2456428	May 15, 2013	San Diego	70 m	Camp Pendleton: west-central portion of Base; Training Area Alpha Three; northwest of Camp Horno and southwest of Basilone Road; in the vicinity of Range 207; along the South Fork of San Onofre Creek	33.385390	-117.501950	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD235130" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68339	Azolla filiculoides	Peter Rubtzoff		5113		2437947	2437947	October 9, 1962	Sonoma		Lower Salmon Creek Marsh	38.358500	-123.047700	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68339" target="_blank">View Details</a>	
UC	UC1536056	Azolla filiculoides	Robert F. Thorne and C. W. Tilforth		39622		2441096	2441096	May 24 1971	Madera	609 m	ca. 3 mi se of Coarse Gold; Coarse Gold Highlands DVP	37.230236	-119.661530	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1536056" target="_blank">View Details</a>	
SD	SD167015	Azolla filiculoides	Jon P. Rebman, J. Gregory, J. Rocks, & J. Dewitt		10620		2453228	2453228	Aug 10, 2004	San Diego	284 m	Sycuan Peak Ecological Reserve (California Dept. of Fish & Game): southeast of Dehesa, southwest of Loveland Reservoir; on the lower northeast side of Sycuan Peak, near Sloan Ranch	32.771670	-116.800280	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD167015" target="_blank">View Details</a>	
UCR	UCR209966	Azolla filiculoides	R. G. Swinney		9335		2454719	2454719	2008-Sep-9	Los Angeles	960 m	San Gabriel Mtns., Little Rock Creek, 0.2 mi. north of Little Rock Reservoir	34.487220	-118.021940	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR209966" target="_blank">View Details</a>	
JEPS	JEPS126110	Azolla filiculoides	Jake Ruygt		995		2444717	2444717	April 22, 1981	Napa		East of Kaiser Steel, west of Highway 29 (221) Rocktram. Napa 7.5' Qua.	38.257400	-122.280500	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS126110" target="_blank">View Details</a>	
JEPS	JEPS102443	Azolla microphylla	Lowell Ahart		9326		2452191	2452191	10/8/2001	Plumas	1066 m	On still waters of Indian Creek, about 400 yards south of Arlington Road, about 200 yards east of Highway 89, about 1 1/2 miles south of Crescent Mills.	40.082800	-120.920500	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS102443" target="_blank">View Details</a>	
SD	SD155377	Azolla filiculoides	Jon P. Rebman, Mike Mayer		7506		2452186	2452186	Oct 03, 2001	San Diego	20 m	Mission Valley Preserve: along the San Diego River from Sefton Park to the Interstate 5 bridge	32.761670	-117.191670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD155377" target="_blank">View Details</a>	
